"Date","Price","Open","High","Low","Change %"
"May 21, 2015","108.47","108.52","108.86","108.17","-0.08%"
"May 22, 2015","108.24","108.42","109.07","108.14","-0.22%"
"May 25, 2015","108.48","108.20","108.59","107.96","0.23%"
"May 26, 2015","107.31","108.44","108.54","107.05","-1.08%"
"May 27, 2015","106.75","107.27","107.75","106.34","-0.51%"
"May 28, 2015","106.67","106.70","106.96","106.19","-0.08%"
"May 29, 2015","106.52","106.65","106.96","106.46","-0.14%"
"Jun 01, 2015","105.97","106.51","106.75","105.80","-0.52%"
"Jun 02, 2015","106.53","105.93","106.87","105.69","0.53%"
"Jun 03, 2015","106.40","106.51","106.70","106.01","-0.12%"
"Jun 04, 2015","106.79","106.39","107.31","106.21","0.37%"
"Jun 05, 2015","105.68","106.76","106.86","105.43","-1.04%"
"Jun 08, 2015","107.48","105.64","107.65","105.57","1.71%"
"Jun 09, 2015","106.99","107.42","107.58","106.72","-0.46%"
"Jun 10, 2015","108.52","106.95","108.65","106.81","1.43%"
"Jun 11, 2015","107.93","108.49","108.59","107.25","-0.54%"
"Jun 12, 2015","108.06","107.87","108.29","107.58","0.12%"
"Jun 15, 2015","108.04","108.03","108.32","107.77","-0.01%"
"Jun 16, 2015","108.25","108.00","108.32","107.64","0.19%"
"Jun 17, 2015","108.30","108.18","108.49","107.38","0.05%"
"Jun 18, 2015","108.20","108.25","108.65","107.79","-0.09%"
"Jun 19, 2015","108.68","108.16","108.79","108.04","0.44%"
"Jun 22, 2015","107.88","108.50","108.80","107.78","-0.73%"
"Jun 23, 2015","106.93","107.83","107.92","106.67","-0.88%"
"Jun 24, 2015","107.42","106.90","107.53","106.87","0.45%"
"Jun 25, 2015","107.81","107.38","108.08","107.25","0.37%"
"Jun 26, 2015","107.46","107.77","108.25","107.28","-0.32%"
"Jun 29, 2015","108.90","108.39","109.36","108.08","1.34%"
"Jun 30, 2015","108.84","108.85","109.32","108.68","-0.06%"
"Jul 01, 2015","108.18","108.81","108.99","108.08","-0.60%"
"Jul 02, 2015","108.38","108.16","108.48","107.75","0.18%"
"Jul 03, 2015","108.46","108.33","108.66","107.95","0.07%"
"Jul 06, 2015","108.90","109.07","109.43","108.56","0.41%"
"Jul 07, 2015","108.76","108.88","109.25","108.21","-0.13%"
"Jul 08, 2015","110.56","108.72","110.85","108.69","1.65%"
"Jul 09, 2015","109.90","110.51","110.77","109.63","-0.60%"
"Jul 10, 2015","108.46","109.86","109.96","108.29","-1.31%"
