Date,Price,Open,High,Low
2016-12-22,114.45,114.59,114.75,114.11
2016-12-23,114.61,114.48,114.84,114.34
2016-12-26,114.87,114.64,114.96,114.52
2016-12-27,114.52,114.86,114.9,114.28
2016-12-28,114.64,114.52,114.86,114.06
2016-12-29,115.52,114.64,115.94,114.62
2016-12-30,115.25,115.53,116.03,114.77
2017-01-02,114.64,115.08,115.39,114.47
2017-01-03,114.47,114.59,115.0,113.63
2017-01-04,114.61,114.52,114.84,113.92
2017-01-05,115.94,114.61,116.08,114.28
2017-01-06,114.31,115.94,116.23,114.03
2017-01-09,115.19,114.31,115.26,113.87
2017-01-10,115.02,115.17,115.56,114.44
2017-01-11,115.49,114.98,116.67,114.04
2017-01-12,115.86,115.53,116.81,115.19
2017-01-13,116.41,115.86,116.73,115.47
2017-01-16,117.05,116.33,117.48,116.33
2017-01-17,118.54,117.02,118.58,116.96
2017-01-18,116.36,118.55,118.62,116.25
2017-01-19,116.42,116.39,116.89,115.66
2017-01-20,116.99,116.43,117.42,116.16
2017-01-23,118.55,117.25,118.56,117.11
2017-01-24,117.16,118.51,118.69,117.02
2017-01-25,117.94,117.17,118.19,116.95
2017-01-26,116.44,117.9,118.15,116.1
2017-01-27,116.08,116.44,116.65,115.77
2017-01-30,117.29,116.1,117.63,116.04
2017-01-31,118.36,117.27,119.16,117.12
2017-02-01,118.08,118.34,118.53,117.33
2017-02-02,118.37,118.08,119.16,117.93
2017-02-03,118.41,118.38,118.82,117.61
2017-02-06,119.24,118.69,119.37,118.17
2017-02-07,118.59,119.25,119.39,118.36
2017-02-08,119.02,118.62,119.38,118.49
2017-02-09,117.45,119.03,119.25,117.34
2017-02-10,117.61,117.42,118.0,116.9
2017-02-13,117.16,117.51,117.56,116.61
2017-02-14,116.67,117.17,117.73,116.39
2017-02-15,116.77,116.67,117.08,115.94
2017-02-16,117.63,116.81,117.81,116.62
2017-02-17,118.12,117.6,118.41,117.33
2017-02-20,118.07,118.13,118.26,117.93
2017-02-21,117.63,118.07,118.1,117.52
2017-02-22,117.98,117.66,118.41,117.56
2017-02-23,118.58,117.94,118.64,117.78
2017-02-24,118.82,118.55,119.08,118.04
2017-02-27,118.38,118.89,119.17,118.22
2017-02-28,118.25,118.41,119.42,118.14
2017-03-01,117.5,118.22,118.48,117.14
2017-03-02,116.77,117.47,117.55,116.56
2017-03-03,117.38,116.78,117.58,116.62
2017-03-06,117.22,117.36,117.67,117.0
2017-03-07,117.09,117.2,117.36,116.94
2017-03-08,116.74,117.12,117.43,116.32
2017-03-09,116.46,116.72,116.95,116.42
2017-03-10,116.59,116.45,116.69,115.82
2017-03-13,116.26,116.5,116.72,116.22
2017-03-14,116.53,116.27,116.78,116.07
2017-03-15,117.88,116.58,118.11,116.36
2017-03-16,117.8,117.86,118.17,117.5
2017-03-17,118.39,117.81,118.56,117.42
2017-03-20,118.28,118.38,118.55,117.91
2017-03-21,119.22,118.3,119.39,117.97
2017-03-22,119.91,119.2,120.36,119.11
2017-03-23,120.11,119.92,120.46,119.47
2017-03-24,119.69,120.12,120.47,119.56
2017-03-27,120.28,119.85,120.9,119.76
2017-03-28,119.75,120.31,120.83,119.7
2017-03-29,119.89,119.75,120.25,119.64
2017-03-30,118.97,119.91,120.08,118.94
2017-03-31,119.62,118.97,119.8,118.72
2017-04-03,120.14,119.64,120.2,119.39
2017-04-04,120.34,120.14,120.89,120.06
2017-04-05,120.33,120.35,120.6,119.52
2017-04-06,120.34,120.33,120.84,119.97
2017-04-07,119.91,120.33,121.19,119.58
2017-04-10,119.77,119.84,119.97,119.18
2017-04-11,121.17,119.77,121.19,119.73
2017-04-12,121.75,121.16,121.86,120.83
2017-04-13,121.51,121.75,122.03,121.17
2017-04-14,122.02,121.56,122.15,121.37
2017-04-17,121.99,121.99,122.72,121.68
2017-04-18,122.64,122.0,122.78,121.64
2017-04-19,122.14,122.62,122.69,121.78
2017-04-20,121.88,122.12,122.53,121.67
